antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'fatigue', 'chest_pain', 'cough', 'malaise'})",frozenset({'phlegm'}),0.06341463414634146,0.07195121951219512,0.06219512195121951,0.9807692307692307,13.63102998696219,1.0,0.05763236168947056,48.258536585365746,0.9893790849673203,0.8499999999999999,0.979278277569999,0.9225880052151239
"frozenset({'chills', 'cough', 'malaise'})",frozenset({'phlegm'}),0.06341463414634146,0.07195121951219512,0.06219512195121951,0.9807692307692307,13.63102998696219,1.0,0.05763236168947056,48.258536585365746,0.9893790849673203,0.8499999999999999,0.979278277569999,0.9225880052151239
"frozenset({'joint_pain', 'loss_of_appetite', 'dark_urine'})",frozenset({'yellowing_of_eyes'}),0.06341463414634146,0.16585365853658537,0.06219512195121951,0.9807692307692307,5.913461538461538,1.0,0.05167757287328971,43.37560975609746,0.8871527777777778,0.3722627737226277,0.9769455690508322,0.6778846153846154
"frozenset({'breathlessness', 'sweating'})",frozenset({'chest_pain'}),0.06341463414634146,0.14146341463414633,0.06219512195121951,0.9807692307692307,6.933023872679046,1.0,0.05322427126710291,44.64390243902429,0.9137050653594772,0.43589743589743596,0.9776005244755245,0.710212201591512
"frozenset({'joint_pain', 'fatigue', 'nausea'})",frozenset({'loss_of_appetite'}),0.06341463414634146,0.23414634146341465,0.06219512195121951,0.9807692307692307,4.1887019230769225,1.0,0.04734681737061273,39.82439024390235,0.8128063725490196,0.2642487046632124,0.974889759921607,0.6231971153846154
"frozenset({'joint_pain', 'abdominal_pain', 'yellowish_skin'})",frozenset({'yellowing_of_eyes'}),0.06341463414634146,0.16585365853658537,0.06219512195121951,0.9807692307692307,5.913461538461538,1.0,0.05167757287328971,43.37560975609746,0.8871527777777778,0.3722627737226277,0.9769455690508322,0.6778846153846154
"frozenset({'chills', 'chest_pain', 'cough', 'malaise'})",frozenset({'phlegm'}),0.06341463414634146,0.07195121951219512,0.06219512195121951,0.9807692307692307,13.63102998696219,1.0,0.05763236168947056,48.258536585365746,0.9893790849673203,0.8499999999999999,0.979278277569999,0.9225880052151239
"frozenset({'chills', 'cough', 'malaise'})","frozenset({'phlegm', 'chest_pain'})",0.06341463414634146,0.07195121951219512,0.06219512195121951,0.9807692307692307,13.63102998696219,1.0,0.05763236168947056,48.258536585365746,0.9893790849673203,0.8499999999999999,0.979278277569999,0.9225880052151239
"frozenset({'high_fever', 'cough', 'malaise'})","frozenset({'phlegm', 'chest_pain'})",0.06341463414634146,0.07195121951219512,0.06219512195121951,0.9807692307692307,13.63102998696219,1.0,0.05763236168947056,48.258536585365746,0.9893790849673203,0.8499999999999999,0.979278277569999,0.9225880052151239
"frozenset({'loss_of_appetite', 'nausea', 'dark_urine'})",frozenset({'yellowing_of_eyes'}),0.06341463414634146,0.16585365853658537,0.06219512195121951,0.9807692307692307,5.913461538461538,1.0,0.05167757287328971,43.37560975609746,0.8871527777777778,0.3722627737226277,0.9769455690508322,0.6778846153846154
"frozenset({'abdominal_pain', 'dark_urine', 'nausea'})",frozenset({'yellowing_of_eyes'}),0.06341463414634146,0.16585365853658537,0.06219512195121951,0.9807692307692307,5.913461538461538,1.0,0.05167757287328971,43.37560975609746,0.8871527777777778,0.3722627737226277,0.9769455690508322,0.6778846153846154
"frozenset({'fatigue', 'high_fever', 'swelled_lymph_nodes'})",frozenset({'malaise'}),0.06341463414634146,0.14268292682926828,0.06219512195121951,0.9807692307692307,6.873767258382643,1.0,0.05314693634741226,44.58048780487795,0.9123774509803922,0.4322033898305085,0.977568661779188,0.7083333333333334
"frozenset({'fatigue', 'cough', 'malaise'})",frozenset({'phlegm'}),0.06341463414634146,0.07195121951219512,0.06219512195121951,0.9807692307692307,13.63102998696219,1.0,0.05763236168947056,48.258536585365746,0.9893790849673203,0.8499999999999999,0.979278277569999,0.9225880052151239
"frozenset({'fatigue', 'chills', 'chest_pain', 'malaise'})",frozenset({'phlegm'}),0.06341463414634146,0.07195121951219512,0.06219512195121951,0.9807692307692307,13.63102998696219,1.0,0.05763236168947056,48.258536585365746,0.9893790849673203,0.8499999999999999,0.979278277569999,0.9225880052151239
"frozenset({'high_fever', 'chest_pain', 'cough', 'malaise'})",frozenset({'phlegm'}),0.06341463414634146,0.07195121951219512,0.06219512195121951,0.9807692307692307,13.63102998696219,1.0,0.05763236168947056,48.258536585365746,0.9893790849673203,0.8499999999999999,0.979278277569999,0.9225880052151239
"frozenset({'high_fever', 'chills', 'chest_pain', 'malaise'})",frozenset({'phlegm'}),0.06341463414634146,0.07195121951219512,0.06219512195121951,0.9807692307692307,13.63102998696219,1.0,0.05763236168947056,48.258536585365746,0.9893790849673203,0.8499999999999999,0.979278277569999,0.9225880052151239
"frozenset({'joint_pain', 'yellowish_skin', 'loss_of_appetite'})",frozenset({'yellowing_of_eyes'}),0.06341463414634146,0.16585365853658537,0.06219512195121951,0.9807692307692307,5.913461538461538,1.0,0.05167757287328971,43.37560975609746,0.8871527777777778,0.3722627737226277,0.9769455690508322,0.6778846153846154
"frozenset({'joint_pain', 'vomiting', 'abdominal_pain'})",frozenset({'yellowing_of_eyes'}),0.06341463414634146,0.16585365853658537,0.06219512195121951,0.9807692307692307,5.913461538461538,1.0,0.05167757287328971,43.37560975609746,0.8871527777777778,0.3722627737226277,0.9769455690508322,0.6778846153846154
